GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI11714	LOCMI11714	B0W0L0_CULQU Putative uncharacterized protein	LOCMI11714	GO:0005975	carbohydrate metabolic process
LOCMI13448	LOCMI13448	PREDICTED: inositol oxygenase-like	LOCMI13448	GO:0005975	carbohydrate metabolic process
LOCMI10214	LOCMI10214	B4MG23_DROVI GJ15459	LOCMI10214	GO:0005975	carbohydrate metabolic process
LOCMI10556	LOCMI10556	Q7Q347_ANOGA AGAP011479-PA (Fragment)	LOCMI10556	GO:0005975	carbohydrate metabolic process
LOCMI13447	LOCMI13447	PREDICTED: inositol oxygenase-like	LOCMI13447	GO:0005975	carbohydrate metabolic process
LOCMI13444	LOCMI13444	PREDICTED: inositol oxygenase-like	LOCMI13444	GO:0005975	carbohydrate metabolic process
LOCMI13445	LOCMI13445	myo-inositol oxygenase	LOCMI13445	GO:0005975	carbohydrate metabolic process
LOCMI03066	LOCMI03066	B0WKF5_CULQU Putative uncharacterized protein	LOCMI03066	GO:0005975	carbohydrate metabolic process
LOCMI10699	LOCMI10699	Sialidase	LOCMI10699	GO:0005975	carbohydrate metabolic process
LOCMI06162	LOCMI06162	Q8T4R3_AEDAE Putative mucin-like protein	LOCMI06162	GO:0005975	carbohydrate metabolic process
LOCMI04338	LOCMI04338	alpha-amylase	LOCMI04338	GO:0005975	carbohydrate metabolic process
LOCMI08032	LOCMI08032	B7P850_IXOSC Putative uncharacterized protein	LOCMI08032	GO:0005975	carbohydrate metabolic process
LOCMI16689	LOCMI16689	chitinase	LOCMI16689	GO:0005975	carbohydrate metabolic process
LOCMI02000	LOCMI02000	C4WU25_ACYPI ACYPI45536 protein	LOCMI02000	GO:0005975	carbohydrate metabolic process
LOCMI13600	LOCMI13600	Q0Z939_TRICA Chitinase 10	LOCMI13600	GO:0005975	carbohydrate metabolic process
LOCMI03766	LOCMI03766	alpha-amylase	LOCMI03766	GO:0005975	carbohydrate metabolic process
LOCMI02529	LOCMI02529	alpha-amylase	LOCMI02529	GO:0005975	carbohydrate metabolic process
LOCMI12218	LOCMI12218	GJ14495	LOCMI12218	GO:0005975	carbohydrate metabolic process
LOCMI09610	LOCMI09610	B0WYC8_CULQU Putative uncharacterized protein	LOCMI09610	GO:0005975	carbohydrate metabolic process
LOCMI15871	LOCMI15871	B4N5X2_DROWI GK17957	LOCMI15871	GO:0005975	carbohydrate metabolic process
LOCMI15467	LOCMI15467	PREDICTED: chitooligosaccharidolytic beta-N-acetylglucosaminidase-like	LOCMI15467	GO:0005975	carbohydrate metabolic process
LOCMI08521	LOCMI08521	alpha-amylase	LOCMI08521	GO:0005975	carbohydrate metabolic process
LOCMI03116	LOCMI03116	AGAP011936-PA	LOCMI03116	GO:0005975	carbohydrate metabolic process
LOCMI12795	LOCMI12795	B4NMT3_DROWI GK23202	LOCMI12795	GO:0005975	carbohydrate metabolic process
LOCMI04280	LOCMI04280	AGAP011937-PA	LOCMI04280	GO:0005975	carbohydrate metabolic process
LOCMI11632	LOCMI11632	putative alpha-N-acetylgalactosaminidase	LOCMI11632	GO:0005975	carbohydrate metabolic process
LOCMI16410	LOCMI16410	Beta-1,3-glucan-binding protein	LOCMI16410	GO:0005975	carbohydrate metabolic process
LOCMI16173	LOCMI16173	cytochrome P450	LOCMI16173	GO:0046906	tetrapyrrole binding
LOCMI10884	LOCMI10884	Chorion peroxidase precursor, putative	LOCMI10884	GO:0046906	tetrapyrrole binding
LOCMI11162	LOCMI11162	Q16LY3_AEDAE Oxidase/peroxidase	LOCMI11162	GO:0046906	tetrapyrrole binding
LOCMI05775	LOCMI05775	Chorion peroxidase precursor, putative	LOCMI05775	GO:0046906	tetrapyrrole binding
LOCMI16197	LOCMI16197	cytochrome P450	LOCMI16197	GO:0046906	tetrapyrrole binding
