GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI16264	LOCMI16264	PREDICTED: peroxidase-like isoform 1	5	0.294117647059	LOCMI16264	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI16259	LOCMI16259	PREDICTED: peroxidase-like isoform 1	5	0.294117647059	LOCMI16259	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI11162	LOCMI11162	Q16LY3_AEDAE Oxidase/peroxidase	5	0.294117647059	LOCMI11162	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI11161	LOCMI11161	PREDICTED: chorion peroxidase-like	5	0.294117647059	LOCMI11161	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI10884	LOCMI10884	Chorion peroxidase precursor, putative	5	0.294117647059	LOCMI10884	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI06277	LOCMI06277	sodium-dependent nutrient amino acid transporter, putative	5	0.294117647059	LOCMI06277	inorganic cation transmembrane transporter activity // secondary active transmembrane transporter activity // neurotransmitter transporter activity // neurotransmitter transport // metal ion transmembrane transporter activity
LOCMI05775	LOCMI05775	Chorion peroxidase precursor, putative	5	0.294117647059	LOCMI05775	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI05040	LOCMI05040	Chorion peroxidase precursor, putative	5	0.294117647059	LOCMI05040	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
LOCMI02454	LOCMI02454	sodium-dependent nutrient amino acid transporter, putative	5	0.294117647059	LOCMI02454	inorganic cation transmembrane transporter activity // secondary active transmembrane transporter activity // neurotransmitter transporter activity // neurotransmitter transport // metal ion transmembrane transporter activity
LOCMI01723	LOCMI01723	sodium-dependent nutrient amino acid transporter, putative	5	0.294117647059	LOCMI01723	inorganic cation transmembrane transporter activity // secondary active transmembrane transporter activity // neurotransmitter transporter activity // neurotransmitter transport // metal ion transmembrane transporter activity
