GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI06277	LOCMI06277	sodium-dependent nutrient amino acid transporter, putative	LOCMI06277	GO:0022890	inorganic cation transmembrane transporter activity
LOCMI01723	LOCMI01723	sodium-dependent nutrient amino acid transporter, putative	LOCMI01723	GO:0022890	inorganic cation transmembrane transporter activity
LOCMI02454	LOCMI02454	sodium-dependent nutrient amino acid transporter, putative	LOCMI02454	GO:0022890	inorganic cation transmembrane transporter activity
LOCMI06277	LOCMI06277	sodium-dependent nutrient amino acid transporter, putative	LOCMI06277	GO:0015291	secondary active transmembrane transporter activity
LOCMI01723	LOCMI01723	sodium-dependent nutrient amino acid transporter, putative	LOCMI01723	GO:0015291	secondary active transmembrane transporter activity
LOCMI02454	LOCMI02454	sodium-dependent nutrient amino acid transporter, putative	LOCMI02454	GO:0015291	secondary active transmembrane transporter activity
LOCMI16176	LOCMI16176	cytochrome P450	LOCMI16176	GO:0046906	tetrapyrrole binding
LOCMI16171	LOCMI16171	cytochrome P450	LOCMI16171	GO:0046906	tetrapyrrole binding
LOCMI16264	LOCMI16264	PREDICTED: peroxidase-like isoform 1	LOCMI16264	GO:0046906	tetrapyrrole binding
LOCMI16173	LOCMI16173	cytochrome P450	LOCMI16173	GO:0046906	tetrapyrrole binding
LOCMI10884	LOCMI10884	Chorion peroxidase precursor, putative	LOCMI10884	GO:0046906	tetrapyrrole binding
LOCMI05040	LOCMI05040	Chorion peroxidase precursor, putative	LOCMI05040	GO:0046906	tetrapyrrole binding
LOCMI11161	LOCMI11161	PREDICTED: chorion peroxidase-like	LOCMI11161	GO:0046906	tetrapyrrole binding
LOCMI16259	LOCMI16259	PREDICTED: peroxidase-like isoform 1	LOCMI16259	GO:0046906	tetrapyrrole binding
LOCMI16136	LOCMI16136	Cytochrome P450 4g15	LOCMI16136	GO:0046906	tetrapyrrole binding
LOCMI16187	LOCMI16187	cytochrome P450 6BQ13	LOCMI16187	GO:0046906	tetrapyrrole binding
LOCMI16232	LOCMI16232	cytochrome P450, family 4, subfamily v, polypeptide 2	LOCMI16232	GO:0046906	tetrapyrrole binding
LOCMI11162	LOCMI11162	Q16LY3_AEDAE Oxidase/peroxidase	LOCMI11162	GO:0046906	tetrapyrrole binding
LOCMI16156	LOCMI16156	RecName: Full=Cytochrome P450 6k1; AltName: Full=CYPVIK1 gb|AAK57914.1|AF281328_1 cytochrome P450 CYP6K1	LOCMI16156	GO:0046906	tetrapyrrole binding
LOCMI01033	LOCMI01033	B0WXB4_CULQU Oxidase/peroxidase	LOCMI01033	GO:0046906	tetrapyrrole binding
LOCMI16221	LOCMI16221	GG20554	LOCMI16221	GO:0046906	tetrapyrrole binding
LOCMI05775	LOCMI05775	Chorion peroxidase precursor, putative	LOCMI05775	GO:0046906	tetrapyrrole binding
LOCMI16151	LOCMI16151	PREDICTED: probable cytochrome P450 301a1, mitochondrial-like	LOCMI16151	GO:0046906	tetrapyrrole binding
LOCMI05620	LOCMI05620	transferrin	LOCMI05620	GO:0006812	cation transport
LOCMI03072	LOCMI03072	sodium/potassium-transporting ATPase subunit beta-2, putative	LOCMI03072	GO:0006812	cation transport
LOCMI09192	LOCMI09192	Q16UM0_AEDAE Sodium/dicarboxylate cotransporter, putative	LOCMI09192	GO:0006812	cation transport
LOCMI06254	LOCMI06254	AGAP007055-PA	LOCMI06254	GO:0006812	cation transport
LOCMI06277	LOCMI06277	sodium-dependent nutrient amino acid transporter, putative	LOCMI06277	GO:0005326	neurotransmitter transporter activity
LOCMI01723	LOCMI01723	sodium-dependent nutrient amino acid transporter, putative	LOCMI01723	GO:0005326	neurotransmitter transporter activity
LOCMI02454	LOCMI02454	sodium-dependent nutrient amino acid transporter, putative	LOCMI02454	GO:0005326	neurotransmitter transporter activity
LOCMI08613	LOCMI08613	beta-GRP	LOCMI08613	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI17170	LOCMI17170	PREDICTED: chitinase-like protein Idgf4-like	LOCMI17170	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI17048	LOCMI17048	chitinase 5 precursor	LOCMI17048	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI07530	LOCMI07530	GG20638	LOCMI07530	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI16410	LOCMI16410	Beta-1,3-glucan-binding protein	LOCMI16410	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI02015	LOCMI02015	PREDICTED: chitinase-like protein Idgf4-like	LOCMI02015	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI02438	LOCMI02438	Endoglucanase E-4 precursor, putative	LOCMI02438	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI17331	LOCMI17331	Q0Z942_TRICA Chitinase 7	LOCMI17331	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI16589	LOCMI16589	B3NW72_DROER GG18337	LOCMI16589	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI17127	LOCMI17127	PREDICTED: chitinase-like protein Idgf4-like isoform 1	LOCMI17127	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI17185	LOCMI17185	PREDICTED: chitinase-like protein Idgf4-like	LOCMI17185	GO:0016798	hydrolase activity, acting on glycosyl bonds
LOCMI17211	LOCMI17211	cuticular protein RR-1 motif 45 precursor	LOCMI17211	GO:0005198	structural molecule activity
LOCMI12038	LOCMI12038	Collagen alpha-1(V) chain	LOCMI12038	GO:0005198	structural molecule activity
LOCMI12142	LOCMI12142	Larval cuticle protein A3A	LOCMI12142	GO:0005198	structural molecule activity
