GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
LOCMI16321	LOCMI16321	beta-actin	1	0.333333333333	LOCMI16321	Phototransduction - fly:map04745
LOCMI15755	LOCMI15755	PREDICTED: protein enhancer of sevenless 2B-like	1	0.333333333333	LOCMI15755	MAPK signaling pathway - fly:map04013
LOCMI15746	LOCMI15746	tyrosine-protein phosphatase corkscrew, putative	1	0.333333333333	LOCMI15746	MAPK signaling pathway - fly:map04013
LOCMI15745	LOCMI15745	D2A2D2_TRICA Putative uncharacterized protein GLEAN_07831	1	0.333333333333	LOCMI15745	MAPK signaling pathway - fly:map04013
LOCMI14740	LOCMI14740	PREDICTED: similar to calmodulin-binding protein trpl	1	0.333333333333	LOCMI14740	Phototransduction - fly:map04745
LOCMI12038	LOCMI12038	Collagen alpha-1(V) chain	1	0.333333333333	LOCMI12038	ECM-receptor interaction:map04512
LOCMI10699	LOCMI10699	Sialidase	1	0.333333333333	LOCMI10699	ECM-receptor interaction:map04512
LOCMI08289	LOCMI08289	PREDICTED: collagen alpha-1(IV) chain-like isoform 1	1	0.333333333333	LOCMI08289	ECM-receptor interaction:map04512
LOCMI04186	LOCMI04186	PREDICTED: collagen alpha-1(IV) chain-like	1	0.333333333333	LOCMI04186	ECM-receptor interaction:map04512
LOCMI03316	LOCMI03316	Collagen alpha-1(I) chain	1	0.333333333333	LOCMI03316	ECM-receptor interaction:map04512
LOCMI01353	LOCMI01353	beta-actin	1	0.333333333333	LOCMI01353	Phototransduction - fly:map04745
