GeneID	Symbol	Description	UID-str	parent GOID	GO Name
LOCMI15934	LOCMI15934	ATP-citrate synthase	LOCMI15934	GO:0005737	cytoplasm
LOCMI00586	LOCMI00586	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b	LOCMI00586	GO:0005737	cytoplasm
LOCMI00585	LOCMI00585	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b	LOCMI00585	GO:0005737	cytoplasm
LOCMI08036	LOCMI08036	PREDICTED: similar to ribosomal protein L37e	LOCMI08036	GO:0005737	cytoplasm
LOCMI12177	LOCMI12177	40S ribosomal protein S15a	LOCMI12177	GO:0005737	cytoplasm
LOCMI12178	LOCMI12178	PREDICTED: ADP-ribosylation factor-like 6 interacting protein	LOCMI12178	GO:0005737	cytoplasm
LOCMI03203	LOCMI03203	PREDICTED: importin subunit alpha-2-like	LOCMI03203	GO:0005737	cytoplasm
LOCMI05642	LOCMI05642	putative ribosomal protein S23e	LOCMI05642	GO:0005737	cytoplasm
LOCMI04634	LOCMI04634	40S ribosomal protein S13	LOCMI04634	GO:0005737	cytoplasm
LOCMI15895	LOCMI15895	cytochrome c oxidase subunit VIIA putative	LOCMI15895	GO:0005737	cytoplasm
LOCMI11744	LOCMI11744	RecName: Full=40S ribosomal protein S13 gb|AAK92182.1|AF400210_1 ribosomal protein S13	LOCMI11744	GO:0005737	cytoplasm
LOCMI08029	LOCMI08029	60S ribosomal protein L38	LOCMI08029	GO:0005737	cytoplasm
LOCMI15205	LOCMI15205	60S ribosomal protein L38	LOCMI15205	GO:0005737	cytoplasm
LOCMI15981	LOCMI15981	CG12859	LOCMI15981	GO:0005737	cytoplasm
LOCMI15980	LOCMI15980	ubiquinol-cytochrome c reductase complex	LOCMI15980	GO:0005737	cytoplasm
LOCMI16024	LOCMI16024	GH10285	LOCMI16024	GO:0005737	cytoplasm
LOCMI07932	LOCMI07932	Q0E8V7_DROME CG34132	LOCMI07932	GO:0005737	cytoplasm
LOCMI16352	LOCMI16352	heat shock protein 20	LOCMI16352	GO:0009628	response to abiotic stimulus
LOCMI06175	LOCMI06175	heat shock protein 20.7	LOCMI06175	GO:0009628	response to abiotic stimulus
LOCMI05827	LOCMI05827	protein lethal, putative	LOCMI05827	GO:0009628	response to abiotic stimulus
LOCMI00142	LOCMI00142	heat shock protein 20.5	LOCMI00142	GO:0009628	response to abiotic stimulus
LOCMI15512	LOCMI15512	heat shock protein 20.7	LOCMI15512	GO:0009628	response to abiotic stimulus
LOCMI15510	LOCMI15510	heat shock protein 20.5	LOCMI15510	GO:0009628	response to abiotic stimulus
LOCMI00586	LOCMI00586	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b	LOCMI00586	GO:0006605	protein targeting
LOCMI00585	LOCMI00585	Q2F5V6_BOMMO Translocase of inner mitochondrial membrane 8 homolog b	LOCMI00585	GO:0006605	protein targeting
LOCMI03203	LOCMI03203	PREDICTED: importin subunit alpha-2-like	LOCMI03203	GO:0006605	protein targeting
LOCMI07932	LOCMI07932	Q0E8V7_DROME CG34132	LOCMI07932	GO:0006605	protein targeting
LOCMI12177	LOCMI12177	40S ribosomal protein S15a	LOCMI12177	GO:0003735	structural constituent of ribosome
LOCMI12178	LOCMI12178	PREDICTED: ADP-ribosylation factor-like 6 interacting protein	LOCMI12178	GO:0003735	structural constituent of ribosome
LOCMI05642	LOCMI05642	putative ribosomal protein S23e	LOCMI05642	GO:0003735	structural constituent of ribosome
LOCMI04634	LOCMI04634	40S ribosomal protein S13	LOCMI04634	GO:0003735	structural constituent of ribosome
LOCMI11744	LOCMI11744	RecName: Full=40S ribosomal protein S13 gb|AAK92182.1|AF400210_1 ribosomal protein S13	LOCMI11744	GO:0003735	structural constituent of ribosome
LOCMI08036	LOCMI08036	PREDICTED: similar to ribosomal protein L37e	LOCMI08036	GO:0003735	structural constituent of ribosome
