Ensembl	symbol	DOMAIN
LOCMI13143	LOCMI13143	Ribosomal protein L36e:IPR000509
LOCMI11068	LOCMI11068	Ribosomal protein L36e:IPR000509
LOCMI04417	LOCMI04417	Ran binding protein 1:IPR000156
LOCMI07445	LOCMI07445	GCN5-related N-acetyltransferase (GNAT) domain:IPR000182
LOCMI03541	LOCMI03541	Bacterial surface antigen (D15):IPR000184
LOCMI09756	LOCMI09756	GPS domain:IPR000203
LOCMI15911	LOCMI15911	ATPase, F0 complex, subunit C:IPR000454
LOCMI05551	LOCMI05551	Ribosomal protein S16:IPR000307
LOCMI02554	LOCMI02554	Proteasome, alpha-subunit, conserved site:IPR000426
LOCMI03326	LOCMI03326	Ribosomal protein S17:IPR000266
LOCMI02753	LOCMI02753	Ribosomal protein S17:IPR000266
LOCMI12288	LOCMI12288	Ribosomal protein L44e:IPR000552
LOCMI03500	LOCMI03500	Ribosomal protein L44e:IPR000552
LOCMI06203	LOCMI06203	High mobility group, HMG1/HMG2, subgroup:IPR000135
LOCMI08559	LOCMI08559	Ribosomal protein L36:IPR000473
LOCMI08350	LOCMI08350	Histone H2B:IPR000558
LOCMI13526	LOCMI13526	Histone H2B:IPR000558
LOCMI00625	LOCMI00625	Histone H2B:IPR000558
LOCMI09474	LOCMI09474	High mobility group, HMG-I/HMG-Y:IPR000116
LOCMI03230	LOCMI03230	Ribonucleotide reductase:IPR000358
LOCMI10439	LOCMI10439	RNA polymerases, N/8kDa subunit:IPR000268
LOCMI03823	LOCMI03823	Ribosomal protein L19/L19e:IPR000196
LOCMI04836	LOCMI04836	Ribosomal protein L19/L19e:IPR000196
LOCMI10621	LOCMI10621	Ribosomal protein L31e:IPR000054
LOCMI14004	LOCMI14004	Aminotransferase, class V/Cysteine desulfurase:IPR000192
LOCMI14075	LOCMI14075	Histone H3:IPR000164
LOCMI09756	LOCMI09756	Ribosomal protein L30e:IPR000231
LOCMI07886	LOCMI07886	Ribosomal protein L14b/L23e:IPR000218
LOCMI07539	LOCMI07539	Ribosomal protein L15e:IPR000439
LOCMI03808	LOCMI03808	Tetraspanin, subgroup:IPR000301
LOCMI00357	LOCMI00357	Alpha/beta hydrolase fold-1:IPR000073
LOCMI01166	LOCMI01166	Alpha/beta hydrolase fold-1:IPR000073
LOCMI01929	LOCMI01929	RNA recognition motif domain:IPR000504
LOCMI15138	LOCMI15138	RNA recognition motif domain:IPR000504
LOCMI11349	LOCMI11349	RNA recognition motif domain:IPR000504
LOCMI16771	LOCMI16771	RNA recognition motif domain:IPR000504
LOCMI00614	LOCMI00614	RNA recognition motif domain:IPR000504
LOCMI16809	LOCMI16809	RNA recognition motif domain:IPR000504
LOCMI04294	LOCMI04294	PAK-box/P21-Rho-binding:IPR000095
LOCMI13569	LOCMI13569	Ribosomal protein S28e:IPR000289
LOCMI10264	LOCMI10264	BTB/POZ-like:IPR000210
LOCMI01417	LOCMI01417	Peptidase T1A, proteasome beta-subunit:IPR000243
LOCMI15334	LOCMI15334	Peptidase T1A, proteasome beta-subunit:IPR000243
LOCMI13837	LOCMI13837	Tubulin:IPR000217
LOCMI09660	LOCMI09660	Tubulin:IPR000217
LOCMI06257	LOCMI06257	Ribosomal protein S7:IPR000235
LOCMI04128	LOCMI04128	Thymidylate synthase:IPR000398
