Ensembl	symbol	DOMAIN
LOCMI03595	LOCMI03595	Ribosomal protein S12e:IPR000530
LOCMI15745	LOCMI15745	Ets:IPR000418
LOCMI03037	LOCMI03037	SEA:IPR000082
LOCMI04571	LOCMI04571	BTB/POZ-like:IPR000210
LOCMI16518	LOCMI16518	Nuclear hormone receptor, ligand-binding, core:IPR000536
LOCMI16491	LOCMI16491	Nuclear hormone receptor, ligand-binding, core:IPR000536
LOCMI06431	LOCMI06431	Major intrinsic protein:IPR000425
LOCMI08908	LOCMI08908	Tubulin:IPR000217
LOCMI07446	LOCMI07446	7TM GPCR, rhodopsin-like:IPR000276
LOCMI07407	LOCMI07407	Protease inhibitor I4, serpin:IPR000215
LOCMI01756	LOCMI01756	Protease inhibitor I4, serpin:IPR000215
LOCMI05133	LOCMI05133	Protease inhibitor I4, serpin:IPR000215
LOCMI14216	LOCMI14216	Protease inhibitor I4, serpin:IPR000215
LOCMI14212	LOCMI14212	Protease inhibitor I4, serpin:IPR000215
LOCMI03329	LOCMI03329	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI02405	LOCMI02405	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI03770	LOCMI03770	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI12984	LOCMI12984	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI07377	LOCMI07377	Laminin B type IV:IPR000034
