GO-Elite ORA Results
File:
Table:
colors:
1/13/2015
Locusta migratoria
Pvalues = true
Calculation Summary:
112 Ensembl source identifiers supplied in the input file:G3-VS-S3.up.txt
112 source identifiers meeting the filter linked to a Ensembl ID.
24 genes meeting the criterion linked to a term.
8861 source identifiers in this dataset.
8861 source identifiers linked to a Ensembl ID.
2427 Genes linked to a term.
The z score is based on an N of 2427 and a R of 24 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Glycosphingolipid biosynthesis - globo series:map00603	2	6	6	33.3333333333	100.0	8.01513384822	0.002	0.086
Inositol phosphate metabolism:map00562	4	38	38	10.5263157895	100.0	5.98753740476	0.0	0.03225
Ascorbate and aldarate metabolism:map00053	4	40	40	10.0	100.0	5.80651378219	0.0005	0.03225
Glycosphingolipid biosynthesis - ganglio series:map00604	1	4	4	25.0	100.0	4.85622122507	0.046	0.847714285714
Glycosaminoglycan degradation:map00531	2	16	16	12.5	100.0	4.66779547458	0.018	0.5805
ECM-receptor interaction:map04512	2	21	21	9.52380952381	100.0	3.96912421125	0.029	0.7482
Starch and sucrose metabolism:map00500	3	53	53	5.66037735849	100.0	3.47445590162	0.0385	0.82775
Glycerolipid metabolism:map00561	2	35	35	5.71428571429	100.0	2.84528418761	0.0705	1.0
Ubiquinone and other terpenoid-quinone biosynthesis:map00130	1	11	11	9.09090909091	100.0	2.72128860983	0.142	1.0
Lysine degradation:map00310	2	44	44	4.54545454545	100.0	2.40563366632	0.101	1.0
Amino sugar and nucleotide sugar metabolism:map00520	2	44	44	4.54545454545	100.0	2.40563366632	0.1015	1.0
Other glycan degradation:map00511	1	14	14	7.14285714286	100.0	2.33331969068	0.159	1.0
Glycerophospholipid metabolism:map00564	2	47	47	4.25531914894	100.0	2.2849059841	0.13	1.0
Insect hormone biosynthesis:map00981	1	16	16	6.25	100.0	2.13340182429	0.1855	1.0
Tyrosine metabolism:map00350	1	17	17	5.88235294118	100.0	2.04581438962	0.2	1.0
Phenylalanine metabolism:map00360	1	18	18	5.55555555556	100.0	1.96494835155	0.2015	1.0
Terpenoid backbone biosynthesis:map00900	1	22	22	4.54545454545	100.0	1.69324178007	0.242	1.0
Lysosome:map04142	2	74	74	2.7027027027	100.0	1.51288070516	0.2425	1.0
Citrate cycle (TCA cycle):map00020	1	33	33	3.0303030303	100.0	1.19305813408	0.331	1.0
Drug metabolism - cytochrome P450:map00982	1	40	40	2.5	100.0	0.973726076643	0.3945	1.0
Pyruvate metabolism:map00620	1	41	41	2.43902439024	100.0	0.94624168253	0.4015	1.0
Glycolysis / Gluconeogenesis:map00010	1	41	41	2.43902439024	100.0	0.94624168253	0.4025	1.0
Metabolism of xenobiotics by cytochrome P450:map00980	1	44	44	2.27272727273	100.0	0.868384348743	0.427	1.0
Glutathione metabolism:map00480	1	44	44	2.27272727273	100.0	0.868384348743	0.434	1.0
FoxO signaling pathway:map04068	1	54	54	1.85185185185	100.0	0.648007075522	0.4995	1.0
Phagosome:map04145	1	64	64	1.5625	100.0	0.469914394094	0.5525	1.0
Peroxisome:map04146	1	66	66	1.51515151515	100.0	0.437996364073	0.56	1.0
Oxidative phosphorylation:map00190	1	102	102	0.980392156863	100.0	-0.00884444574677	0.7305	1.0
Lysine biosynthesis:map00300	0	2	2	0.0	100.0	-0.141362188499	1.0	1.0
