Ensembl	symbol	DOMAIN
LOCMI15970	LOCMI15970	ATPase, alpha/beta subunit, nucleotide-binding domain:IPR000194
LOCMI06426	LOCMI06426	Nitroreductase-like:IPR000415
LOCMI07451	LOCMI07451	Polyprenyl synthetase:IPR000092
LOCMI11632	LOCMI11632	Glycoside hydrolase, clan GH-D:IPR000111
LOCMI16491	LOCMI16491	Nuclear hormone receptor, ligand-binding, core:IPR000536
LOCMI05133	LOCMI05133	Protease inhibitor I4, serpin:IPR000215
LOCMI16794	LOCMI16794	Protease inhibitor I4, serpin:IPR000215
LOCMI13304	LOCMI13304	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI00075	LOCMI00075	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI15942	LOCMI15942	Acyltransferase ChoActase/COT/CPT:IPR000542
