Ensembl	symbol	DOMAIN
LOCMI00043	LOCMI00043	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI02988	LOCMI02988	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI04395	LOCMI04395	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI00208	LOCMI00208	Lipocalin/cytosolic fatty-acid binding protein:IPR000566
LOCMI03183	LOCMI03183	Amidase:IPR000120
LOCMI08740	LOCMI08740	Glycosyl transferase, family 3:IPR000312
LOCMI15986	LOCMI15986	ATPase, alpha/beta subunit, nucleotide-binding domain:IPR000194
LOCMI01253	LOCMI01253	Peptidase T2, asparaginase 2:IPR000246
LOCMI11417	LOCMI11417	Sushi/SCR/CCP:IPR000436
LOCMI14394	LOCMI14394	Sushi/SCR/CCP:IPR000436
LOCMI06735	LOCMI06735	AP endonuclease, family 1:IPR000097
LOCMI07839	LOCMI07839	Oligopeptide transporter:IPR000109
LOCMI07809	LOCMI07809	Histidine phosphatase superfamily, clade-2:IPR000560
LOCMI07627	LOCMI07627	D111/G-patch:IPR000467
LOCMI03203	LOCMI03203	Armadillo:IPR000225
LOCMI07964	LOCMI07964	GCN5-related N-acetyltransferase (GNAT) domain:IPR000182
LOCMI04749	LOCMI04749	Leucine-rich repeat-containing N-terminal:IPR000372
LOCMI03125	LOCMI03125	Glycoside hydrolase, family 31:IPR000322
LOCMI08072	LOCMI08072	Glycoside hydrolase, family 31:IPR000322
LOCMI04397	LOCMI04397	Glycoside hydrolase, family 31:IPR000322
LOCMI03579	LOCMI03579	Glycoside hydrolase, family 31:IPR000322
LOCMI17295	LOCMI17295	Toll-Interleukin receptor:IPR000157
LOCMI00043	LOCMI00043	Cytosolic fatty-acid binding:IPR000463
LOCMI03791	LOCMI03791	Cytosolic fatty-acid binding:IPR000463
LOCMI03790	LOCMI03790	Cytosolic fatty-acid binding:IPR000463
LOCMI00493	LOCMI00493	Cytosolic fatty-acid binding:IPR000463
LOCMI04395	LOCMI04395	Cytosolic fatty-acid binding:IPR000463
LOCMI03788	LOCMI03788	Cytosolic fatty-acid binding:IPR000463
LOCMI00208	LOCMI00208	Cytosolic fatty-acid binding:IPR000463
LOCMI09474	LOCMI09474	High mobility group, HMG-I/HMG-Y:IPR000116
LOCMI14407	LOCMI14407	RHO protein GDP dissociation inhibitor:IPR000406
LOCMI12363	LOCMI12363	Dual specificity phosphatase, catalytic domain:IPR000340
LOCMI08740	LOCMI08740	Pyrimidine-nucleoside phosphorylase:IPR000053
LOCMI08345	LOCMI08345	Uroporphyrinogen decarboxylase (URO-D):IPR000257
LOCMI04836	LOCMI04836	Ribosomal protein L19/L19e:IPR000196
LOCMI03823	LOCMI03823	Ribosomal protein L19/L19e:IPR000196
LOCMI00422	LOCMI00422	NUDIX hydrolase domain:IPR000086
LOCMI09897	LOCMI09897	Aminotransferase, class V/Cysteine desulfurase:IPR000192
LOCMI14075	LOCMI14075	Histone H3:IPR000164
LOCMI04776	LOCMI04776	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme:IPR000277
LOCMI11639	LOCMI11639	Dbl homology (DH) domain:IPR000219
LOCMI05133	LOCMI05133	Protease inhibitor I4, serpin:IPR000215
LOCMI05500	LOCMI05500	Phox/Bem1p:IPR000270
LOCMI08350	LOCMI08350	Histone H2B:IPR000558
LOCMI01686	LOCMI01686	Histone H2B:IPR000558
LOCMI05500	LOCMI05500	Zinc finger, ZZ-type:IPR000433
LOCMI14720	LOCMI14720	Phosphoribosylaminoimidazole carboxylase, core:IPR000031
LOCMI02499	LOCMI02499	Tetraspanin, subgroup:IPR000301
LOCMI02243	LOCMI02243	Tetraspanin, subgroup:IPR000301
LOCMI02777	LOCMI02777	Tetraspanin, subgroup:IPR000301
LOCMI02477	LOCMI02477	Tetraspanin, subgroup:IPR000301
LOCMI04987	LOCMI04987	Alpha/beta hydrolase fold-1:IPR000073
LOCMI11814	LOCMI11814	Alpha/beta hydrolase fold-1:IPR000073
LOCMI11818	LOCMI11818	Alpha/beta hydrolase fold-1:IPR000073
LOCMI17120	LOCMI17120	Alpha/beta hydrolase fold-1:IPR000073
LOCMI16691	LOCMI16691	Alpha/beta hydrolase fold-1:IPR000073
LOCMI11816	LOCMI11816	Alpha/beta hydrolase fold-1:IPR000073
LOCMI16771	LOCMI16771	RNA recognition motif domain:IPR000504
LOCMI12951	LOCMI12951	RNA recognition motif domain:IPR000504
LOCMI16707	LOCMI16707	RNA recognition motif domain:IPR000504
LOCMI14327	LOCMI14327	RNA recognition motif domain:IPR000504
LOCMI01239	LOCMI01239	RNA recognition motif domain:IPR000504
LOCMI00614	LOCMI00614	RNA recognition motif domain:IPR000504
LOCMI01592	LOCMI01592	RNA recognition motif domain:IPR000504
LOCMI02275	LOCMI02275	RNA recognition motif domain:IPR000504
LOCMI16692	LOCMI16692	RNA recognition motif domain:IPR000504
LOCMI16374	LOCMI16374	RNA recognition motif domain:IPR000504
LOCMI01929	LOCMI01929	RNA recognition motif domain:IPR000504
LOCMI09768	LOCMI09768	RNA recognition motif domain:IPR000504
LOCMI15119	LOCMI15119	RNA recognition motif domain:IPR000504
LOCMI13577	LOCMI13577	RNA recognition motif domain:IPR000504
LOCMI06003	LOCMI06003	RNA recognition motif domain:IPR000504
LOCMI16631	LOCMI16631	RNA recognition motif domain:IPR000504
LOCMI04516	LOCMI04516	IQ motif, EF-hand binding site:IPR000048
LOCMI07758	LOCMI07758	IQ motif, EF-hand binding site:IPR000048
LOCMI15816	LOCMI15816	ATPase, V0 complex, proteolipid subunit C:IPR000245
LOCMI16049	LOCMI16049	ATPase, V0 complex, proteolipid subunit C:IPR000245
LOCMI09442	LOCMI09442	BTB/POZ-like:IPR000210
LOCMI08440	LOCMI08440	BTB/POZ-like:IPR000210
LOCMI08716	LOCMI08716	BTB/POZ-like:IPR000210
LOCMI10264	LOCMI10264	BTB/POZ-like:IPR000210
LOCMI02171	LOCMI02171	BTB/POZ-like:IPR000210
LOCMI06699	LOCMI06699	PWWP:IPR000313
LOCMI16027	LOCMI16027	Glycoside hydrolase, clan GH-D:IPR000111
LOCMI03396	LOCMI03396	Tubulin:IPR000217
LOCMI14534	LOCMI14534	Tubulin:IPR000217
LOCMI10225	LOCMI10225	Tubulin:IPR000217
LOCMI13837	LOCMI13837	Tubulin:IPR000217
LOCMI09724	LOCMI09724	Tubulin:IPR000217
LOCMI06257	LOCMI06257	Ribosomal protein S7:IPR000235
LOCMI04813	LOCMI04813	Glucose-methanol-choline oxidoreductase, N-terminal:IPR000172
LOCMI13268	LOCMI13268	Cysteine-rich flanking region, C-terminal domain:IPR000483
