Ensembl	symbol	KEGG
LOCMI15814	LOCMI15814	Fructose and mannose metabolism:map00051
LOCMI05849	LOCMI05849	Fructose and mannose metabolism:map00051
LOCMI16093	LOCMI16093	Oxidative phosphorylation:map00190
LOCMI15807	LOCMI15807	Oxidative phosphorylation:map00190
LOCMI15795	LOCMI15795	Oxidative phosphorylation:map00190
LOCMI15858	LOCMI15858	Oxidative phosphorylation:map00190
LOCMI15894	LOCMI15894	Oxidative phosphorylation:map00190
LOCMI13033	LOCMI13033	Oxidative phosphorylation:map00190
LOCMI16074	LOCMI16074	Oxidative phosphorylation:map00190
LOCMI15959	LOCMI15959	Oxidative phosphorylation:map00190
LOCMI16008	LOCMI16008	Oxidative phosphorylation:map00190
LOCMI15786	LOCMI15786	Oxidative phosphorylation:map00190
LOCMI15884	LOCMI15884	Oxidative phosphorylation:map00190
LOCMI15925	LOCMI15925	Oxidative phosphorylation:map00190
LOCMI16062	LOCMI16062	Oxidative phosphorylation:map00190
LOCMI15863	LOCMI15863	Oxidative phosphorylation:map00190
LOCMI15865	LOCMI15865	Oxidative phosphorylation:map00190
LOCMI15895	LOCMI15895	Oxidative phosphorylation:map00190
LOCMI15892	LOCMI15892	Oxidative phosphorylation:map00190
LOCMI15958	LOCMI15958	Oxidative phosphorylation:map00190
LOCMI15890	LOCMI15890	Oxidative phosphorylation:map00190
LOCMI16058	LOCMI16058	Oxidative phosphorylation:map00190
LOCMI15775	LOCMI15775	Oxidative phosphorylation:map00190
LOCMI15760	LOCMI15760	Oxidative phosphorylation:map00190
LOCMI16006	LOCMI16006	Oxidative phosphorylation:map00190
LOCMI16039	LOCMI16039	Oxidative phosphorylation:map00190
LOCMI16094	LOCMI16094	Oxidative phosphorylation:map00190
LOCMI15979	LOCMI15979	Oxidative phosphorylation:map00190
LOCMI15910	LOCMI15910	Oxidative phosphorylation:map00190
LOCMI15911	LOCMI15911	Oxidative phosphorylation:map00190
LOCMI15917	LOCMI15917	Oxidative phosphorylation:map00190
LOCMI15914	LOCMI15914	Oxidative phosphorylation:map00190
LOCMI15915	LOCMI15915	Oxidative phosphorylation:map00190
LOCMI15992	LOCMI15992	Oxidative phosphorylation:map00190
LOCMI16084	LOCMI16084	Oxidative phosphorylation:map00190
LOCMI16086	LOCMI16086	Oxidative phosphorylation:map00190
LOCMI15966	LOCMI15966	Oxidative phosphorylation:map00190
LOCMI16102	LOCMI16102	Oxidative phosphorylation:map00190
LOCMI15826	LOCMI15826	Oxidative phosphorylation:map00190
LOCMI15980	LOCMI15980	Oxidative phosphorylation:map00190
LOCMI16037	LOCMI16037	Oxidative phosphorylation:map00190
LOCMI15830	LOCMI15830	Oxidative phosphorylation:map00190
LOCMI15838	LOCMI15838	Oxidative phosphorylation:map00190
LOCMI15952	LOCMI15952	Oxidative phosphorylation:map00190
LOCMI11065	LOCMI11065	Oxidative phosphorylation:map00190
LOCMI16023	LOCMI16023	Oxidative phosphorylation:map00190
LOCMI16024	LOCMI16024	Oxidative phosphorylation:map00190
LOCMI15707	LOCMI15707	Drug metabolism - cytochrome P450:map00982
